B, LONGDON, blongdon2@gravatar.com 
W, ROPS, wrops3@time.com 
C, QUINCEY, cquincey5@dion.ne.jp 
S, LEINDECKER, sleindeckerb@pbs.org 
H, PULEQUE, hpulequed@geocities.jp 
A, BUCKSEY, abuckseyi@people.com.cn 
L, AUDRITT, laudrittj@intel.com 
K, MC GIFFIN, kmcgiffinp@telegraph.co.uk 
G, TUBB, gtubbq@dailymail.co.uk 
M, JON, mjonw@csmonitor.com 
H, CADDIE, hcaddiey@ocn.ne.jp 
I, TWEDDELL, itweddellz@addthis.com 
J, BARNFIELD, jbarnfield17@toplist.cz 
G, SKARMAN, gskarman18@lulu.com 
B, GRISE, bgrise19@pcworld.com 
L, BOUNDY, lboundy1b@merriam-webster.com 
K, TROYES, ktroyes1f@scientificamerican.com 
W, LORENZETTI, wlorenzetti1h@yolasite.com 
G, MACCARD, gmaccard1i@about.com 
R, SKEETE, rskeete1l@hao123.com 
I, MARTSCHKE, imartschke1w@theguardian.com 
T, BRAMBLEY, tbrambley22@tripod.com 
R, HORRIBINE, rhorribine24@bbc.co.uk 
T, BUTERTON, tbuterton2e@nationalgeographic.com 
S, WILLOCK, swillock2g@sina.com.cn 
G, FIDGETT, gfidgett2h@last.fm 
L, BASSICK, lbassick2i@wordpress.org 
M, WILLS, mwills2m@pinterest.com 
A, HAWTRY, ahawtry2n@amazon.de 
